id,x,y,yaw,v
0,-0.007000,0.009000,0.009723,0.200
1,0.392981,0.012889,0.009725,0.200
2,0.792962,0.016779,0.009723,0.200
3,1.192943,0.020668,0.009723,0.200
4,1.592924,0.024557,0.009725,0.200
5,1.992905,0.028447,0.009723,0.200
6,2.392887,0.032336,0.009723,0.200
7,2.792868,0.036225,0.009725,0.200
8,3.192849,0.040115,0.009723,0.200
9,3.592400,0.044000,0.074105,0.200
10,3.991302,0.073615,0.074103,0.200
11,4.390204,0.103229,0.074105,0.200
12,4.789107,0.132844,0.074103,0.200
13,5.188009,0.162458,0.074105,0.200
14,5.586911,0.192073,0.074103,0.200
15,5.985813,0.221687,0.074105,0.200
16,6.384716,0.251302,0.074103,0.200
17,6.783400,0.280900,0.050204,0.200
18,7.182896,0.300973,0.050204,0.200
19,7.582392,0.321046,0.050204,0.200
20,7.981888,0.341119,0.050204,0.200
21,8.381384,0.361192,0.050204,0.200
22,8.780880,0.381265,0.050204,0.200
23,9.180376,0.401338,0.050204,0.200
24,9.579872,0.421411,0.050206,0.200
25,9.979368,0.441485,0.050204,0.200
26,10.378864,0.461558,0.050204,0.200
27,10.778360,0.481631,0.050204,0.200
28,11.177856,0.501704,0.050204,0.200
29,11.577352,0.521777,0.050204,0.200
30,11.976848,0.541850,0.050204,0.200
31,12.376344,0.561923,0.050204,0.200
32,12.775840,0.581996,0.050204,0.200
33,13.175336,0.602069,0.050204,0.200
34,13.574832,0.622142,0.050204,0.200
35,13.974328,0.642215,0.050204,0.200
36,14.373824,0.662288,0.050204,0.200
37,14.773320,0.682361,0.050204,0.200
38,15.172816,0.702434,0.050206,0.200
39,15.572312,0.722508,0.050203,0.200
40,15.971809,0.742581,0.050204,0.200
41,16.371305,0.762654,0.050204,0.200
42,16.770801,0.782727,0.050204,0.200
43,17.170297,0.802800,0.059923,0.200
44,17.569582,0.826755,0.059923,0.200
45,17.968864,0.850710,0.059923,0.200
46,18.368146,0.874665,0.059923,0.200
47,18.767428,0.898620,0.059923,0.200
48,19.166710,0.922575,0.059923,0.200
49,19.565992,0.946530,0.059923,0.200
50,19.965274,0.970485,0.059923,0.200
51,20.364556,0.994440,0.059926,0.200
52,20.763838,1.018396,0.059923,0.200
53,21.163120,1.042351,0.059923,0.200
54,21.562403,1.066306,0.059923,0.200
55,21.961685,1.090261,0.059923,0.200
56,22.360967,1.114216,0.059923,0.200
57,22.760249,1.138171,0.059923,0.200
58,23.159100,1.162100,0.017916,0.200
59,23.559036,1.169266,0.017913,0.200
60,23.958972,1.176431,0.017916,0.200
61,24.358907,1.183597,0.017916,0.200
62,24.758843,1.190763,0.017913,0.200
63,25.158779,1.197928,0.017916,0.200
64,25.558715,1.205094,0.017916,0.200
65,25.958651,1.212260,0.017913,0.200
66,26.358586,1.219425,0.017917,0.200
67,26.558100,1.223000,0.052231,0.200
68,26.957555,1.243883,0.052231,0.200
69,27.357009,1.264766,0.052231,0.200
70,27.756464,1.285649,0.052229,0.200
71,28.155918,1.306531,0.052231,0.200
72,28.555373,1.327414,0.052231,0.200
73,28.954827,1.348297,0.052231,0.200
74,29.354282,1.369180,0.052231,0.200
75,29.753736,1.390063,0.052231,0.200
76,30.153191,1.410946,0.052229,0.200
77,30.552645,1.431828,0.052231,0.200
78,30.952100,1.452711,0.052231,0.200
79,31.351554,1.473594,0.052232,0.200
80,31.550600,1.484000,0.001417,0.200
81,31.950600,1.484567,0.001420,0.200
82,32.350599,1.485135,0.001417,0.200
83,32.750599,1.485702,0.001418,0.200
84,33.150598,1.486269,0.001417,0.200
85,33.550598,1.486836,0.001420,0.200
86,33.950598,1.487404,0.001418,0.200
87,34.350597,1.487971,0.001417,0.200
88,34.750597,1.488538,0.001418,0.200
89,35.150596,1.489105,0.001420,0.200
90,35.550596,1.489673,0.001417,0.200
91,35.950596,1.490240,0.001418,0.200
92,36.350595,1.490807,0.001420,0.200
93,36.750595,1.491375,0.001418,0.200
94,37.150594,1.491942,0.001417,0.200
95,37.550594,1.492509,0.001417,0.200
96,37.950594,1.493076,0.001420,0.200
97,38.350593,1.493644,0.001417,0.200
98,38.750593,1.494211,0.001418,0.200
99,39.150592,1.494778,0.001417,0.200
100,39.550592,1.495345,0.001420,0.200
101,39.950592,1.495913,0.001418,0.200
102,40.350591,1.496480,0.001417,0.200
103,40.750591,1.497047,0.001420,0.200
104,41.150590,1.497615,0.001417,0.200
105,41.550590,1.498182,0.001417,0.200
106,41.950590,1.498749,0.001418,0.200
107,42.350589,1.499316,0.001420,0.200
108,42.750589,1.499884,0.001418,0.200
109,43.150588,1.500451,0.001417,0.200
110,43.550588,1.501018,0.001420,0.200
111,43.950588,1.501586,0.001418,0.200
112,44.350587,1.502153,0.001417,0.200
113,44.750587,1.502720,0.001418,0.200
114,45.150586,1.503287,0.001420,0.200
115,45.550586,1.503855,0.001417,0.200
116,45.950586,1.504422,0.001418,0.200
117,46.350585,1.504989,0.001417,0.200
118,46.750585,1.505556,0.001420,0.200
119,47.150584,1.506124,0.001417,0.200
120,47.550584,1.506691,0.001417,0.200
121,47.950584,1.507258,0.001420,0.200
122,48.350583,1.507826,0.001417,0.200
123,48.750583,1.508393,0.001418,0.200
124,49.150582,1.508960,0.001417,0.200
125,49.550582,1.509527,0.001420,0.200
126,49.950581,1.510095,0.001417,0.200
127,50.350581,1.510662,0.001417,0.200
128,50.750581,1.511229,0.001418,0.200
129,51.150580,1.511796,0.001420,0.200
